hour,temperature,sunPercentage
0,7,0
1,7,6
2,8,13
3,9,19
4,9,26
5,10,33
6,11,39
7,11,46
8,12,53
9,12,59
10,13,66
11,14,72
12,14,79
13,14,72
14,13,66
15,12,59
16,12,53
17,11,46
18,11,39
19,10,33
20,9,26
21,9,19
22,8,13
23,7,6

0,14,0
1,15,1
2,16,3
3,17,4
4,18,6
5,19,7
6,21,9
7,22,10
8,23,12
9,24,14
10,25,15
11,26,17
12,28,18
13,26,17
14,25,15
15,24,14
16,23,12
17,22,10
18,21,9
19,19,7
20,18,6
21,17,4
22,16,3
23,15,1

0,5,0
1,5,4
2,6,8
3,6,12
4,6,16
5,7,20
6,7,24
7,8,28
8,8,32
9,9,36
10,9,40
11,10,44
12,10,48
13,10,44
14,9,40
15,9,36
16,8,32
17,8,28
18,7,24
19,7,20
20,6,16
21,6,12
22,6,8
23,5,4

0,12,0
1,13,7
2,14,14
3,15,21
4,16,28
5,18,35
6,19,42
7,20,49
8,21,56
9,22,64
10,23,71
11,24,78
12,25,85
13,24,78
14,23,71
15,22,64
16,21,56
17,20,49
18,19,42
19,18,35
20,16,28
21,15,21
22,14,14
23,13,7

0,11,0
1,12,4
2,13,9
3,14,14
4,15,19
5,16,24
6,17,29
7,18,34
8,19,39
9,20,44
10,21,49
11,22,53
12,22,58
13,22,53
14,21,49
15,20,44
16,19,39
17,18,34
18,17,29
19,16,24
20,15,19
21,14,14
22,13,9
23,12,4

0,12,0
1,13,3
2,14,6
3,15,9
4,17,12
5,18,15
6,19,18
7,20,21
8,21,24
9,22,28
10,23,31
11,24,34
12,25,37
13,24,34
14,23,31
15,22,28
16,21,24
17,20,21
18,19,18
19,18,15
20,17,12
21,15,9
22,14,6
23,13,3

0,6,0
1,7,5
2,8,10
3,8,15
4,9,20
5,9,25
6,10,31
7,10,36
8,11,41
9,12,46
10,12,51
11,13,57
12,13,62
13,13,57
14,12,51
15,12,46
16,11,41
17,10,36
18,10,31
19,9,25
20,9,20
21,8,15
22,8,10
23,7,5

0,11,0
1,12,8
2,13,16
3,14,24
4,15,32
5,16,40
6,17,48
7,18,56
8,19,64
9,20,72
10,21,80
11,22,88
12,23,97
13,22,88
14,21,80
15,20,72
16,19,64
17,18,56
18,17,48
19,16,40
20,15,32
21,14,24
22,13,16
23,12,8

0,10,0
1,11,4
2,11,8
3,12,13
4,13,17
5,14,21
6,15,26
7,16,30
8,16,35
9,17,39
10,18,43
11,19,48
12,20,52
13,19,48
14,18,43
15,17,39
16,16,35
17,16,30
18,15,26
19,14,21
20,13,17
21,12,13
22,11,8
23,11,4

0,9,0
1,10,1
2,10,3
3,11,5
4,12,6
5,13,8
6,14,10
7,14,12
8,15,13
9,16,15
10,17,17
11,17,19
12,18,20
13,17,19
14,17,17
15,16,15
16,15,13
17,14,12
18,14,10
19,13,8
20,12,6
21,11,5
22,10,3
23,10,1
